Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C001 Statistical Area Level 1 2011 to Local Government Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
SA1_MAINCODE_2011,SA1_7DIGITCODE_2011,LGA_CODE_2011,LGA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
10102101128,1101128,16470,Queanbeyan (C),1,100,,,,,,,
10102101129,1101129,16180,Palerang (A),1,100,,,,,,,
10102101130,1101130,16180,Palerang (A),1,100,,,,,,,
10102101131,1101131,16180,Palerang (A),1,100,,,,,,,
10102101132,1101132,16180,Palerang (A),1,100,,,,,,,
10102101133,1101133,16180,Palerang (A),1,100,,,,,,,
10102101134,1101134,16180,Palerang (A),1,100,,,,,,,
10102101135,1101135,16180,Palerang (A),1,100,,,,,,,
10102101136,1101136,16180,Palerang (A),1,100,,,,,,,
10102101137,1101137,16180,Palerang (A),1,100,,,,,,,
10102101138,1101138,16180,Palerang (A),1,100,,,,,,,
10102101139,1101139,16180,Palerang (A),1,100,,,,,,,
10102101140,1101140,16180,Palerang (A),1,100,,,,,,,
10102101201,1101201,16470,Queanbeyan (C),1,100,,,,,,,
10102101202,1101202,16470,Queanbeyan (C),1,100,,,,,,,
10102101203,1101203,16470,Queanbeyan (C),1,100,,,,,,,
10102101204,1101204,16470,Queanbeyan (C),1,100,,,,,,,
10102101205,1101205,16470,Queanbeyan (C),1,100,,,,,,,
10102101206,1101206,16470,Queanbeyan (C),1,100,,,,,,,
10102101207,1101207,16470,Queanbeyan (C),1,100,,,,,,,
10102101208,1101208,16470,Queanbeyan (C),1,100,,,,,,,
10102101209,1101209,16470,Queanbeyan (C),1,100,,,,,,,
10102101210,1101210,16470,Queanbeyan (C),1,100,,,,,,,
10102101211,1101211,16470,Queanbeyan (C),1,100,,,,,,,
10102101212,1101212,16470,Queanbeyan (C),1,100,,,,,,,
10102101213,1101213,16470,Queanbeyan (C),1,100,,,,,,,
10102101214,1101214,16470,Queanbeyan (C),1,100,,,,,,,
10102101215,1101215,16470,Queanbeyan (C),1,100,,,,,,,
10102101216,1101216,16470,Queanbeyan (C),1,100,,,,,,,
10102101217,1101217,16470,Queanbeyan (C),1,100,,,,,,,
10102101218,1101218,16470,Queanbeyan (C),1,100,,,,,,,
10102101219,1101219,16470,Queanbeyan (C),1,100,,,,,,,
10102101220,1101220,16470,Queanbeyan (C),1,100,,,,,,,
10102101221,1101221,16470,Queanbeyan (C),1,100,,,,,,,
10102101222,1101222,16470,Queanbeyan (C),1,100,,,,,,,
10102101223,1101223,16470,Queanbeyan (C),1,100,,,,,,,
10102101224,1101224,16470,Queanbeyan (C),1,100,,,,,,,
